Product_title, variant_sku, product_id, variant_id, variant_title, variant_price, variant_inventory_quantity, handle, published_scope, product_type, tags
6 Month Box, 999, 8204584905, 26959646601, Default Title, 239.70, 0, 6-month-box, web, , 
Be Bold - The August Collection (2017), 999, 41411346450, 14027719704634, Default Title, 49.95, 0, be-bold-the-august-collection-2017, web, , 
Gift Card, 999, 10824532690, 46113699154, $100.00, 100.00, 1, gift-card, web, Gift Card, 
Gift Card, 999, 10824532690, 46113699090, $50.00, 50.00, 1, gift-card, web, Gift Card, 
Gift Card, 999, 10824532690, 46113699026, $25.00, 25.00, 1, gift-card, web, Gift Card, 
Gift Card, 999, 10824532690, 46113698962, $10.00, 10.00, 1, gift-card, web, Gift Card, 
Laced Up - The April Collection (2017), 999, 44313477138, 387041853458, Default Title, 49.95, 0, laced-up-the-april-collection-2017, web, , 
Neon Dreams - The February Collection (2017), 999, 44392644626, 388830855186, Default Title, 49.95, 0, neon-dreams-the-february-collection-2017, web, , 
Red-y, Set, Go - The January Collection (2017), 999, 44389597202, 388790288402, Default Title, 49.95, 0, red-y-set-go-the-january-collection-2017, web, , 
Run the World - The June Collection (2017), 999, 41924984850, 14028179931194, Default Title, 49.95, 0, run-the-world-june-collection-2017, web, , 
Space Race - The July Collection (2017), 999, 44302860306, 386842886162, Default Title, 49.95, -1, space-race-the-july-collection-2017, web, , 
Spring Forward - The March Collection (2017), 999, 44316622866, 387090448402, Default Title, 49.95, 0, spring-forward-the-march-collection-2017, web, , 
Squad Goals - The May Collection (2017), 999, 48216571922, 458710908946, Default Title, 49.95, 0, squad-goals-the-may-collection-2017, web, , 
The FEBRUARY BOX, 999, 8874747026, 30491333074, Default Title, 0.00, 1, the-february-box, web, , sports-bra-xl  sports-bra-xs  tops-xl  tops-xs
Bad Sku: 999 has 10 duplicates

1 - Marika Morgan Molded Cup Sport Bra, 722457001002, 8716933906, 29263870610, L, 0.00, 0, 1-marika-morgan-molded-cup-sport-bra, web, Sports Bra, 
2 - Marika Morgan Molded Cup Sport Bra, 722457001002, 8716992786, 29264270674, L, 0.00, 0, 2-marika-morgan-molded-cup-sport-bra, web, Sports Bra, 
Bad Sku: 722457001002 has 2 duplicates

Sierra Sports Bra (Plus Size)  Auto renew, 722457354573, 97001799698, 972524683282, 40C, 24.99, 10, sierra-sports-bra-plus-size-1, web, Sports Bra, Subscription
Sierra Sports Bra (white), 722457354573, 70316523538, 724601667602, 40C, 24.99, 9, sierra-sports-bra-plus-size, web, Sports Bra, 
Bad Sku: 722457354573 has 2 duplicates

Sierra Sports Bra (Plus Size)  Auto renew, 722457354580, 97001799698, 972524781586, 42C, 24.99, 10, sierra-sports-bra-plus-size-1, web, Sports Bra, Subscription
Sierra Sports Bra (white), 722457354580, 70316523538, 724601765906, 42C, 24.99, 9, sierra-sports-bra-plus-size, web, Sports Bra, 
Bad Sku: 722457354580 has 2 duplicates

Sierra Sports Bra (Plus Size)  Auto renew, 722457354603, 97001799698, 972524617746, 38D, 24.99, 9, sierra-sports-bra-plus-size-1, web, Sports Bra, Subscription
Sierra Sports Bra (white), 722457354603, 70316523538, 724601602066, 38D, 24.99, 8, sierra-sports-bra-plus-size, web, Sports Bra, 
Bad Sku: 722457354603 has 2 duplicates

Sierra Sports Bra (Plus Size)  Auto renew, 722457354610, 97001799698, 972524716050, 40D, 24.99, 9, sierra-sports-bra-plus-size-1, web, Sports Bra, Subscription
Sierra Sports Bra (white), 722457354610, 70316523538, 724601700370, 40D, 24.99, 8, sierra-sports-bra-plus-size, web, Sports Bra, 
Bad Sku: 722457354610 has 2 duplicates

Sierra Sports Bra (Plus Size)  Auto renew, 722457354627, 97001799698, 972524814354, 42D, 24.99, 9, sierra-sports-bra-plus-size-1, web, Sports Bra, Subscription
Sierra Sports Bra (white), 722457354627, 70316523538, 724601798674, 42D, 24.99, 6, sierra-sports-bra-plus-size, web, Sports Bra, 
Bad Sku: 722457354627 has 2 duplicates

Sierra Sports Bra (Plus Size)  Auto renew, 722457354634, 97001799698, 972524650514, 38DD, 24.99, 5, sierra-sports-bra-plus-size-1, web, Sports Bra, Subscription
Sierra Sports Bra (white), 722457354634, 70316523538, 724601634834, 38DD, 24.99, 5, sierra-sports-bra-plus-size, web, Sports Bra, 
Bad Sku: 722457354634 has 2 duplicates

Sierra Sports Bra (Plus Size)  Auto renew, 722457354658, 97001799698, 972524748818, 40DD, 24.99, 10, sierra-sports-bra-plus-size-1, web, Sports Bra, Subscription
Sierra Sports Bra (white), 722457354658, 70316523538, 724601733138, 40DD, 24.99, 10, sierra-sports-bra-plus-size, web, Sports Bra, 
Bad Sku: 722457354658 has 2 duplicates

Adriana Sports Bra (black/white), 722457355228, 68723474450, 701190995986, 40C, 24.99, 3, adriana-sports-bra-plus-size, web, Sports Bra, 
Adriana Sports Bra (Plus Size)  Auto renew, 722457355228, 97008222226, 972561186834, 40C, 24.99, 3, adriana-sports-bra-plus-size-1, web, Sports Bra, Subscription
Bad Sku: 722457355228 has 2 duplicates

Adriana Sports Bra (black/white), 722457355235, 68723474450, 701191061522, 42C, 24.99, 3, adriana-sports-bra-plus-size, web, Sports Bra, 
Adriana Sports Bra (Plus Size)  Auto renew, 722457355235, 97008222226, 972561252370, 42C, 24.99, 3, adriana-sports-bra-plus-size-1, web, Sports Bra, Subscription
Bad Sku: 722457355235 has 2 duplicates

Adriana Sports Bra (black/white), 722457355259, 68723474450, 701190930450, 38D, 24.99, 0, adriana-sports-bra-plus-size, web, Sports Bra, 
Adriana Sports Bra (Plus Size)  Auto renew, 722457355259, 97008222226, 972561121298, 38D, 24.99, 1, adriana-sports-bra-plus-size-1, web, Sports Bra, Subscription
Bad Sku: 722457355259 has 2 duplicates

Adriana Sports Bra (black/white), 722457355266, 68723474450, 701191028754, 40D, 24.99, 6, adriana-sports-bra-plus-size, web, Sports Bra, 
Adriana Sports Bra (Plus Size)  Auto renew, 722457355266, 97008222226, 972561219602, 40D, 24.99, 9, adriana-sports-bra-plus-size-1, web, Sports Bra, Subscription
Bad Sku: 722457355266 has 2 duplicates

