Product_Title, Product_Handle, Product_Body_HTML
Abigail Pullover (tawny port), abigail-pullover-tawny-port, <meta charset="utf-8"><ul><li>70% Polyester, 26% Rayon, 4% Spandex</li><li>French Terry</li><li>V-Neck</li><li>Long Sleeve</li><li>Open Hole Mesh At Sleeves &amp; Back</li><li>2x2 Rib Collar &amp; Cuffs</li><li>Raw Edge Hemline</li><li>Machine Wash</li><li>Relaxed Fit</li><li>26" Length</li></ul>
Lively Layering Top (ballet slipper), lively-layering-top-ballet-slipper, <meta charset="utf-8"><ul><li>90% Polyester, 10% Spandex</li><li>Peached Jersey</li><li>Scoop Neck</li><li>Raglan Long Sleeves</li><li>Mesh Inset Detail At Back</li><li>Moisture Performance</li><li>Machine Wash</li><li>Semi-Fitted</li><li>26" Length</li><li>Dry-Wik</li></ul>
Lively Layering Top (heather black), lively-layering-top-heather-black, <meta charset="utf-8"><ul><li>90% Polyester, 10% Spandex</li><li>Peached Jersey</li><li>Scoop Neck</li><li>Raglan Long Sleeves</li><li>Mesh Inset Detail At Back</li><li>Moisture Performance</li><li>Machine Wash</li><li>Semi-Fitted</li><li>26" Length</li><li>Dry-Wik</li></ul>
Christy Sports Bra (h charcoal w/ black), christy-sports-bra-h-charcoal-w-black, <meta charset="utf-8"><ul><li>Dry-Wik</li><li>1" Wide Underband for Support</li><li>Removable Cup Pads</li><li>Dry-Wik Finish</li><li>Body: 90% Polyester,10% Spandex, Lining: 100% Polyester</li><li>Crossed Back Detail</li><li>Medium Impact</li><li>None Adjustable Straps</li><li>Moisture Performance</li><li>Racerback Style</li><li>Machine Wash</li></ul>
Christy Sports Bra (black), christy-sports-bra-black, <meta charset="utf-8"><ul><li>Dry-Wik</li><li>1" Wide Underband for Support</li><li>Removable Cup Pads</li><li>Dry-Wik Finish</li><li>Body: 90% Polyester,10% Spandex, Lining: 100% Polyester</li><li>Crossed Back Detail</li><li>Medium Impact</li><li>None Adjustable Straps</li><li>Moisture Performance</li><li>Racerback Style</li><li>Machine Wash</li></ul>
Winona Singlet (ballet slipper), winona-singlet-ballet-slipper, <meta charset="utf-8"><ul><li>75% Polyester, 25% Rayon</li><li>Mesh Panels</li><li>Racerback</li><li>Side Seam Vents</li><li>High-Low Hemline</li><li>No Inner Shelf Lining</li><li>Machine Wash</li><li>Relax Fit</li><li>26 1/2" Length</li></ul>
Candace Shape Enhancing Legging (coco painter vibe), candace-shape-enhancing-legging-coco-painter-vibe, <meta charset="utf-8"><ul><li>Waistband With Powermesh Lining For Tummy Control</li><li>90% Polyester, 10% Spandex</li><li>Functional Side Seam Pockets</li><li>Çriss-cross straps overlay mesh insets on sides</li><li>25" Inseam</li><li>10 1/4" Front Rise &amp; 11 1/2" Back Rise</li><li>Coolmax Gusset</li><li>4 1/2" High Rise Waistband</li><li>Machine Wash</li></ul>
Candace Shape Enhancing Legging (black), candace-shape-enhancing-legging-black, <meta charset="utf-8"><ul><li>Waistband With Powermesh Lining For Tummy Control</li><li>90% Polyester, 10% Spandex</li><li>Functional Side Seam Pockets</li><li>Çriss-cross straps overlay mesh insets on sides</li><li>25" Inseam</li><li>10 1/4" Front Rise &amp; 11 1/2" Back Rise</li><li>Coolmax Gusset</li><li>4 1/2" High Rise Waistband</li><li>Machine Wash</li></ul>
Celeste Ankle Legging Shape Enhancing (tawny port), celeste-ankle-legging-shape-enhancing-tawny-port, <meta charset="utf-8"><ul><li>Back Yoke Seam</li><li>90% Polyester, 10% Spandex</li><li>Criss-cross strapping at sides</li><li>25" Inseam</li><li>12" Front Rise &amp; 12 1/4" Back Rise</li><li>Coolmax Gusset</li><li>4" High Rise Waistband</li><li>Machine Wash</li></ul>
Tierra Tummy Control (chocolate torte), tierra-tummy-control-chocolate-torte, <meta charset="utf-8"><ul><li>Functional Side Pockets</li><li>90% Polyester, 10% Spandex</li><li>25" Inseam</li><li>12 1/4" Front Rise &amp; 12 1/2" Back Rise</li><li>Coolmax Gusset</li><li>5" High Rise Waistband</li><li>Machine Wash</li></ul>
Brandy Cozy Hoodie (black), brandy-cozy-hoodie-black, <meta charset="utf-8"><ul><li>Long Sleeves With Thumbhole</li><li>French Terry</li><li>62% Polyester, 33% Rayon, 5% Spandex</li><li>Functional zipper along entire hood</li><li>Front Welt Pockets</li><li>Relaxed Fit</li><li>Machine Wash</li></ul>
