Product,Product_id
Abagil Pullover tawny port,1642276585530
Livelly Layering Top Ballet Slipper,1642300604474
Livelly Layering Top H Black,1642303062074
Christy Sports Bra H Charcoal,1643219746874
Christy Sports Bra Black,1643222630458
Winona Singlet,1643284594746
Candace Shape Enhanced Legging Coco,1643477106746
Candace Shape Enhanced Legging Black,1643481301050
Celeste Annke Legging Shape Enhancing,1643547295802
Tierra Tummy Control,1645379813434
Brandy Cozy Hoodie,1675185291322
Relieve Lounge Pant,1675204460602
Pipeline Ankle,1675207737402
Desi Drape Cardigan,1675246633018
Colette Tee,1675249287226
Orbit Seamless Sports Bra Blue,1675397070906
Orbit Seamless Sports Bra Black,1675399692346
Summit Tee Ballet Slipper,1675281629242
Summit Tee Ballet Slpper H Charcoal,1675283333178
Solid HW Capri Peacoat,1675318689850
Solid HW Capri Shark,1675321114682
Solid HW Cpri Flint,1675327766586
Solid HW Capri Coco,1675334385722
